rank,xp,wallet_address,on_chain_missions_done,referral_level,referral_count,Sybil find (Ancestors),Sybil find (Social link),Sybil final
40590,9700,elys1000v4dkd3rgh2xer2vsthxu5f6qyypwj58ks8t,105,3,11,True User,Sybil,Sybil
38937,10000,elys1whjzwe25qettqlrm23jf3v748vtckk7azph5vh,110,5,10,True User,Sybil,Sybil
38299,10100,elys1rr0n04n4yv7675mm7yylkm4annxdgzzr5vly0l,112,5,10,True User,Sybil,Sybil
38308,10100,elys1q4gf6mnqp5e7nfv629vfw2lvvwtpex5eyv3mep,112,2,10,True User,Sybil,Sybil
40305,9750,elys1pehuwyj7jmfwwy2uuw3epgfexjhjm778a24r9p,107,3,10,True User,Sybil,Sybil
38936,10000,elys1kyuzk9scwz5e98t7gr2ecd7qrvlknexxcevdwt,110,2,10,True User,Sybil,Sybil
39240,9950,elys1kd05all26y54mmd00ds2x6a65xteyfdmsufgf9,111,5,10,True User,Sybil,Sybil
38928,10000,elys1h93anlc7knas3kztgl58y03e3qygpypcc9xkz3,110,1,10,True User,Sybil,Sybil
40033,9800,elys1h6yjx4u7nl5ctncshcgdahr2p4zw3lmjgcu207,108,5,10,True User,Sybil,Sybil
41206,9600,elys1e7c7nf3mdvvcdm0yx3jldgh5pzlfhwlu0p8pwt,106,5,10,True User,Sybil,Sybil
37208,10250,elys1dugafk9muclpzavkk557kwmuw3s5aq3gxtvnt6,113,3,10,True User,Sybil,Sybil
41204,9600,elys1cpd6a9xcp9zymxxslz3vreyktlxtaa64gawy50,106,1,10,True User,Sybil,Sybil
38309,10100,elys1alwvnzafvpja2w7mk0kl4ur7wufhkm3zk8z8rt,112,4,10,True User,Sybil,Sybil
38306,10100,elys19kymumglcm8emx26305p76vfjy3exq3f2ykh3s,112,5,10,True User,Sybil,Sybil
41207,9600,elys18zw0n9zuk7q4tgu4azzmz6kjra2sn6cnl0smnn,106,2,10,True User,Sybil,Sybil
36612,10350,elys17wfe4ejm6xchms777fj5acrw5u8772gnl89087,115,5,10,True User,Sybil,Sybil
41736,9500,elys166ektajp30hw5vjws8hulzfp7akwrvdyqdhyt0,104,2,10,True User,Sybil,Sybil
38930,10000,elys15ce88g2z0f80yle7ynwht85uq8fctza4rhhf6j,110,4,10,True User,Sybil,Sybil
40856,9650,elys14ghfd9q8qukwv7dgu48lskwqdnh8tutn2j0x9g,107,4,10,True User,Sybil,Sybil
38307,10100,elys132tw2gtqsg80u9uhsqflhmnryg9vcn2g2epk7p,112,5,10,True User,Sybil,Sybil
38932,10000,elys12cny6u8kpaqu5yfuqv2hh6fuets0898m47etwv,110,5,10,True User,Sybil,Sybil
39734,9850,elys1rtn4466672d4x77ljtrlv5qlv6v7jthy9s8rx2,110,5,9,True User,Sybil,Sybil
47597,8700,elys1l7690ek74d0c5mm2qdf2wq0kj83cm7rsv0ln8h,97,4,9,True User,Sybil,Sybil
40854,9650,elys1j98t5ksuxmswsctfk0lnshhwges8ar3u4q3zph,108,5,9,True User,Sybil,Sybil
39244,9950,elys1h5v9qyun6awhx7tzljcha8cwamd92vgvnuuq3y,112,4,9,True User,Sybil,Sybil
41208,9600,elys1gldywugpac932afwudwd0dett9zr5merhjdgjr,107,4,9,True User,Sybil,Sybil
39243,9950,elys159as5vmc0dk29qdtj5pw5kgcmhxdpzw44dxegs,112,5,9,True User,Sybil,Sybil
37572,10200,elys140fc83h6e298z4cjjdrkw5saahs9fz959s8k27,115,5,9,True User,Sybil,Sybil
44870,9050,elys1x23zlf2he7ca45rdd84mkx374e9ryzqkjt2ch8,103,4,8,True User,Sybil,Sybil
40034,9800,elys1t5kp5xu4c8ycy7s842wayu0ckna0l08gtfgshh,112,5,8,True User,Sybil,Sybil
40600,9700,elys1lnttaleywq7zw88se9ewef5e7mrqtqc59ddfdd,110,5,8,True User,Sybil,Sybil
36215,10400,elys12djtypewhttne5s4usgpy05sn3uy3dadjtz7q0,96,0,8,True User,Sybil,Sybil
19829,14050,elys1wpmu829j9ns9vf4pre2egunz92rg4k66fxtygy,144,2,7,True User,Sybil,Sybil
30219,11400,elys1lrw6854s460em3d6zw2dhgmk5jp4w78xfn3sw6,109,2,7,True User,Sybil,Sybil
43043,9300,elys1atrgg00ypytz4e669s3gz5suzwv2ne68zfhzq8,107,4,7,True User,Sybil,Sybil
40855,9650,elys15cydgnfsljahvhgm3apx82nlh5p3xhy28077u2,112,5,7,True User,Sybil,Sybil
41350,9600,elys1fyvpqhphm9yvnm2lzuayt5mxas782c7r47jvcr,96,43,3,Sybil,True user,Sybil
41349,9600,elys1fw5567rcfw6rygyh7th0ls9l5d54vem79nppe2,96,42,3,Sybil,True user,Sybil
44040,9150,elys1c95vjkpd25grdcr3n72cxfgw7ajhaj979jjjtf,107,5,6,True User,Sybil,Sybil
42387,9400,elys14gwdpzme2xl5chcc7m8erxfuzl6zqm5l7nw7rt,110,4,6,True User,Sybil,Sybil
45237,9000,elys1tr8yeqd6sxthmmr09dtpdv4ltekx5h28lpltup,107,5,5,True User,Sybil,Sybil
4027,22450,elys1m8s0rq4hs5ew9eel7lrsjt2hm4803jy8ukfkk9,242,0,5,True User,Sybil,Sybil
44869,9050,elys1lxyl7rhtyu6w2y03tmyhckhrzp5eu0sqxsnzdt,108,5,5,True User,Sybil,Sybil
15294,15450,elys1kyze5jxcqqpdv45kfzqc6vjdeey8ygcxz2d0r2,152,3,5,True User,Sybil,Sybil
29774,11500,elys1gl9nw5esgmtafye0alau9n7e3u3dg5a7ue6ge8,110,0,5,True User,Sybil,Sybil
36057,10450,elys1dv3srsgckeg4vqrusxaj2cry0x5vau47ck44r6,100,10,5,Sybil,True user,Sybil
44500,9100,elys169adflphc39lcj9pz024vfwgn8n9j0jts8xsxq,109,2,5,True User,Sybil,Sybil
45228,9000,elys10j7kqvhej8j3xm0c7nxvhxdnuzymx58pewnyk8,107,3,5,True User,Sybil,Sybil
22055,13500,elys1zzy6he98zqazyw43xfts8567z8xpc8l3uqxua3,140,22,2,Sybil,Sybil,Sybil
24760,12800,elys1ze5lrx7uedpf2a33ltfm44d2nll5dhgyfw0hw8,128,15,4,Sybil,True user,Sybil
22054,13500,elys1yw8v8sncth8yrs0tr22hewlwujapgw9r6md7u7,136,21,2,Sybil,Sybil,Sybil
23759,13050,elys1yrc3keg6qk5t85hycsvlzge9hezmgdpgmnstep,131,15,4,Sybil,Sybil,Sybil
22855,13300,elys1y44w6xw6w3gfs4q826s9f60ky6edcn34mtrsgf,134,15,4,Sybil,Sybil,Sybil
43356,9250,elys1xjqxys4pylzrgyj29nhqff9lqahftt798wv4f4,111,5,4,True User,Sybil,Sybil
19019,14300,elys1xf23avcy3duhxfetd6glkvewnzxl2y5aecc6yg,144,15,4,Sybil,Sybil,Sybil
22453,13400,elys1x4epym8r2nutp268nxyztn72axtaky5qu0whzf,136,15,4,Sybil,True user,Sybil
24590,12850,elys1wdrgxd5g5ua4fh7mw03ep24wqg3gww4ndvtjet,129,15,4,Sybil,Sybil,Sybil
22440,13400,elys1v8874u5etv7vd8s42883wyf26n4rhxgnsce9zx,140,23,2,Sybil,Sybil,Sybil
21277,13700,elys1tvrs6mk9gr499chemlrfw38ju5s9ngrjwdwq97,140,21,2,Sybil,Sybil,Sybil
23029,13250,elys1t9elcp2c8ggez5mdavv548g04zkg3fgpn5g2eq,131,15,4,Sybil,True user,Sybil
23587,13100,elys1t03nurjwq3n947qga2nmaldalnkellt6c9urx4,130,15,4,Sybil,Sybil,Sybil
23584,13100,elys1spl3wr50j3aawzkkk8cpe7y2ar3k3namrrtfg5,132,15,4,Sybil,Sybil,Sybil
22857,13300,elys1sjgd3sus2mtumryr5l7yt5kyhwmghs79uvrdft,132,15,4,Sybil,True user,Sybil
19971,14050,elys1s8edcg339gtncuw55wh9mz78tdej98z4xe4td7,141,15,4,Sybil,True user,Sybil
43351,9250,elys1ry6dfs47ghtray890xajsp9mqadz7c9gwz5utq,111,3,4,True User,Sybil,Sybil
47144,8750,elys1qz8kge670vwal74wequ5m0xsay7xpt7sjz95av,105,2,4,True User,Sybil,Sybil
31974,11100,elys1q22vlkuwcvfr0uhmsulmj8mxartj663e36tcjx,105,24,2,Sybil,True user,Sybil
22641,13350,elys1p7zmkg4q47wxpztjxw009vvuesfgx5t38svv0p,139,23,2,Sybil,True user,Sybil
23027,13250,elys1nqfy5fslhyj93vrl7wz6lc5gmmup7lfxdamtvp,133,15,4,Sybil,True user,Sybil
20304,13950,elys1nn3hr0naayt2gtuw7jwhzgvsrj9dm8rmf7ccdk,141,15,4,Sybil,True user,Sybil
31405,11200,elys1ng9df2upjvwftfgptvjn9m40akl6jttee8ll30,105,27,2,Sybil,True user,Sybil
22262,13450,elys1nfw5ekz694nxjp9cppzvmrralrw7jfwu42urqd,135,15,4,Sybil,True user,Sybil
42258,9450,elys1mzrxduy455jkpv0x5ul9eanuzx69qapjx3mrae,96,23,2,Sybil,True user,Sybil
21711,13600,elys1mt5q3u63a6qtpespakt4hwuandhah4gc7y3qs0,134,15,4,Sybil,Sybil,Sybil
20945,13800,elys1mqe955q8wlf97klr0ank6un8e9a064nf2c6spj,140,15,4,Sybil,True user,Sybil
26044,12450,elys1m9juxwqckzmrphrpndjp0lygdcjh4n9cvy0vks,125,15,4,Sybil,Sybil,Sybil
23749,13050,elys1m2ema44hv4wz23j79l2gkgc77zflgr3hlfe2dh,139,23,2,Sybil,True user,Sybil
26497,12300,elys1lz55hqrzyknndn8cdhg28auch337wye3x94ty5,117,24,2,Sybil,True user,Sybil
21291,13700,elys1lqlvvfpj597m5wzu7kgjuuadxwk924qwj7ax3d,136,15,4,Sybil,True user,Sybil
25497,12600,elys1lexsc24cnvsum9x64yvdennrzpyyfnzhfrmc4g,124,15,4,Sybil,Sybil,Sybil
22436,13400,elys1k6zcrvkjkmexkj2n6z386t8lgve2qlv9t4npqq,136,14,4,Sybil,True user,Sybil
34756,10650,elys1jsu99vsv6u8a4hplm5dc8w0eucjml9ranxjrdk,100,22,2,Sybil,True user,Sybil
19602,14150,elys1je6ntugafd480we8jzc7f8aagwycdsa7tpexs9,141,0,4,True User,Sybil,Sybil
36022,10450,elys1je3za9lq2mx7vn27jppnk70l0gkxtn5m8w3rcj,98,25,2,Sybil,True user,Sybil
27664,12000,elys1hfd33fsccl4w92zq4vq0kuv9207qa3s52m3d3t,115,23,2,Sybil,True user,Sybil
20726,13850,elys1ghgqya06sqarc4u3set8ke6kfqjrxrmx8tehnv,137,15,4,Sybil,True user,Sybil
47164,8750,elys1g06ktc06fvzmvclx7ugk2muhy6yxprkgswyckg,105,6,4,True User,Sybil,Sybil
20134,14000,elys1fy8wpea8lxl050tsflj0xgt9rc6l3zn5nt6255,140,15,4,Sybil,True user,Sybil
22449,13400,elys1fjdxm0t63m3mwuf3g59d8dsy0nrypywqm792s9,138,15,4,Sybil,True user,Sybil
47145,8750,elys1e2g250g2ju5nna2qhussq8475j2755qtvsweqv,105,1,4,True User,Sybil,Sybil
21494,13650,elys1dtlzh8fe2x54ml2aml9rv2u67jw8qxw0s7vj5m,139,21,2,Sybil,Sybil,Sybil
27056,12150,elys1dln80d6xzu6g0hnq9j0kqz7cq75znzv28stqq4,116,25,2,Sybil,True user,Sybil
24172,12950,elys1dl5tf0dcua6678ha8kvan2rkgm9vh5k826qr2n,135,22,2,Sybil,True user,Sybil
19973,14050,elys1dl3f36rlghh4ruxw9kzcqff6ew2xxc3058w0wl,141,15,4,Sybil,Sybil,Sybil
23196,13200,elys1cu8a8fu2rfst2543wpftsy7e8x796x26h58q2v,134,15,4,Sybil,Sybil,Sybil
20935,13800,elys1cpnvz8mvfy6n9rev0ghulkqrjdj9dy2w0ndc9s,142,22,2,Sybil,Sybil,Sybil
36367,10400,elys1cmwjv7anh6ryhl5d7qgmraygewa6j89a6humcd,119,21,2,Sybil,True user,Sybil
22856,13300,elys1c7sz5s7hmh6qnhpdxhrvtr5nk48eyy6s79670r,132,15,4,Sybil,Sybil,Sybil
46382,8850,elys1a2lf3te7we4zc9fg3kwqgeu8ghj5tawca4zg4p,107,1,4,True User,Sybil,Sybil
25787,12500,elys19x3n0l6pmetga575ljqtqzgm2jtxylxzn0r9fl,119,22,2,Sybil,True user,Sybil
45561,8950,elys19jsyedgu6a76eqpztaugksxyh7dmsvp08j98gj,109,5,4,True User,Sybil,Sybil
22450,13400,elys198w24vpzache5hndr72lyda7zfuahyykmnys6p,132,15,4,Sybil,Sybil,Sybil
30852,11300,elys18jdv6kqcw5cwmnmekqgz4nduqquvyrasnda0gn,107,23,2,Sybil,True user,Sybil
24579,12850,elys1820fdhgyumr2epn7p3qscmptkahg2xcm047mn0,135,23,2,Sybil,Sybil,Sybil
33836,10800,elys16rwxraq75vlfqpdy2e8acz8d85mjy8eqwy2ajv,101,21,2,Sybil,True user,Sybil
23028,13250,elys167a45srr0s6ktyq3m7r7xu9rqg2hedq9hs7ugj,133,15,4,Sybil,True user,Sybil
20934,13800,elys162ycyht5y8vzjzs3q0y8gkfgq3ttpemzu04eu8,144,22,2,Sybil,True user,Sybil
19784,14100,elys15m5j98jl68lz2eux80dgr5tckwks9pywlzj9nv,146,22,2,Sybil,True user,Sybil
23585,13100,elys1584mws0v3chsl5nfzqfwly0xfn93xamryr72ff,136,15,4,Sybil,True user,Sybil
23942,13000,elys150fesl9d8jgfefwuggaysh9esm20ywnkq4d6tq,134,21,2,Sybil,True user,Sybil
20933,13800,elys14vyyegd4n28mhqmt98mwnarm4rm45m4lwcvqh0,142,22,2,Sybil,True user,Sybil
26394,12350,elys14n08mxfcu6ewfjfz8sm689s33nzke9m8qhv6zf,123,15,4,Sybil,Sybil,Sybil
22452,13400,elys14f8tmse4vm0lakdazsfjjvl864evzr6gnl4ths,136,15,4,Sybil,True user,Sybil
10122,17900,elys13nqlvxnyzqpjtz64u0shus7u8ffzps6za4ydzj,184,2,4,True User,Sybil,Sybil
29225,11650,elys13m78h66qxjspmjvcmzlfhj78q5ry6d4fj84ssd,115,15,4,Sybil,Sybil,Sybil
27301,12100,elys13k8qu532c4xk6cyfm330p2786ecqw9rk9zzylv,122,15,4,Sybil,True user,Sybil
29627,11550,elys12wpejgrv8h9g0cllmhulxzw5ujg3e3xy7dj3nr,110,26,2,Sybil,True user,Sybil
32251,11050,elys12pev0n3tmgr028g0njv27jhu4n3z6nq0qw4apq,104,26,2,Sybil,True user,Sybil
25494,12600,elys12luecx9dhggut2u7wp70995dzf78l5995a6c7e,124,15,4,Sybil,True user,Sybil
19018,14300,elys124m2wksdga0lau54k82wjpp4dj5uga3ty4q6wl,142,15,4,Sybil,Sybil,Sybil
26928,12200,elys124fyuxcq48q6ydzrh3n0k8gkfqtlml4azt2l9j,122,21,2,Sybil,Sybil,Sybil
35997,10450,elys10zlv60pcvaz4emnln8f3rhh05w9gmf6u5u7kpz,119,5,4,True User,Sybil,Sybil
46384,8850,elys10jh98468k56mrrjv2yw8uu73w35gvnjnmz22vd,107,6,4,True User,Sybil,Sybil
23195,13200,elys10gy6sec038hucz747yewgqcw9qxtjjx3pleq5r,132,15,4,Sybil,True user,Sybil
25131,12700,elys108h54qldewjzf8yfm30txwl8ajvy8a6qv7m3tu,130,15,4,Sybil,True user,Sybil
21712,13600,elys1zk9nguu0m63f3xpepjtzpgccag25rrxuupgztz,135,15,3,Sybil,Sybil,Sybil
20120,14000,elys1zct5ezkfruannxl7g0axdyjd4878072ejsvan0,140,0,3,True User,Sybil,Sybil
24164,12950,elys1yahqz0gd2sqcztz75s0uadlp928sffvpyeekj0,130,15,3,Sybil,True user,Sybil
34434,10700,elys1xwlt5hglnx226r482sj04u6mwqu7yprpewe5xe,103,1,3,True User,Sybil,Sybil
21507,13650,elys1wt3g700k7qgurgnw2gakuu606af0ze47xd932e,140,15,3,Sybil,True user,Sybil
21125,13750,elys1wk6fnxu8q929x9le9tdh7n8d08km7c8e7gm3nw,138,15,3,Sybil,True user,Sybil
36943,10300,elys1vml2gnhq9wp02c67nw4gcdvfx280424dzxw9aw,96,16,3,Sybil,True user,Sybil
24185,12950,elys1v7de4mday6z7vc4juead8rlwuqvl94nn9g2sxl,134,15,3,Sybil,Sybil,Sybil
18584,14400,elys1tsahshd75589n6s66r8wvx97fkx0qnu6cnpfjq,145,10,3,Sybil,True user,Sybil
24592,12850,elys1t6np8hpq5qwd69mfsmke9zdxc20q8aq705l5cd,123,10,3,Sybil,True user,Sybil
12434,16650,elys1t5nccfg4dhw52xktwx32wxyzkemmzgdvapnqh3,170,1,3,True User,Sybil,Sybil
23761,13050,elys1rqj4zynpmgpuqgvqcu0lqgsmef8mtkf35h32pt,130,15,3,Sybil,True user,Sybil
19196,14250,elys1qufzhdss8jaufqvth3856ghtrd9lg20wuzvk7k,142,14,3,Sybil,True user,Sybil
25496,12600,elys1qlgrrd23faw6uzzkrznyyewcyvj7tt54g0dn9f,131,15,3,Sybil,True user,Sybil
21273,13700,elys1qew0naksf0ney86x5ztu8q939mkl7hs5fgz7z2,134,10,3,Sybil,True user,Sybil
22854,13300,elys1p9cv2aljek9l56z972ple0f9fcewquvd93t7ec,133,15,3,Sybil,Sybil,Sybil
23379,13150,elys1nygp30gltqt65dhn42lu6u08quv9kw64xz84m9,136,15,3,Sybil,True user,Sybil
23193,13200,elys1mu4ja7rd93sd3ucs0sd7vcfu82x0tjks962qym,131,15,3,Sybil,Sybil,Sybil
21290,13700,elys1lhcmv6ezhtsdlxnms7x8ntwxwq0g720g8hw2vy,139,15,3,Sybil,Sybil,Sybil
1259,24900,elys1kvjpn0hc620hmajh78d6ap7m7phvdl4f99k7uf,269,5,3,True User,Sybil,Sybil
46385,8850,elys1k5p02f89m3uy7qq74jszntxcmtpalu3wf45ex6,108,3,3,True User,Sybil,Sybil
23742,13050,elys1jg5eyr8e2urprcl49nkm66uhrkxfeym4eyy9xa,130,15,3,Sybil,True user,Sybil
31344,11200,elys1j9q53s90qewn4zah36m7twdyvcjk03psv9amfd,129,3,3,True User,Sybil,Sybil
23583,13100,elys1j6kkmmjl9cqsq7em5zxxvdnka50aw4ugw3pkkp,129,15,3,Sybil,Sybil,Sybil
14888,15600,elys1j5ch0lqxawf3g3hk5crfh72lnwd32cwjj3sdl0,157,3,3,True User,Sybil,Sybil
20725,13850,elys1hdru8xkmnd4m08lde2h5mj65dcmhftzu554eyv,142,15,3,Sybil,True user,Sybil
22451,13400,elys1hdgccfwtjkgr6vandc20pj9nw6g77pt0dl5wv9,135,15,3,Sybil,Sybil,Sybil
22853,13300,elys1g54248y7w2ca8teuahk6xzy2p0mtyuna77aj7f,135,14,3,Sybil,Sybil,Sybil
21506,13650,elys1frkq7cc3xcz8tzvdn9dtv7eldw7y849wazevgz,138,15,3,Sybil,Sybil,Sybil
32496,11000,elys1flt8sewel3xkxfjdazmngh5fv9kgkhpsah55qg,117,10,3,Sybil,True user,Sybil
22648,13350,elys1eqwpzdcd22acq3ucwfshznq008njtv78vz0a6n,136,15,3,Sybil,Sybil,Sybil
21124,13750,elys1dg9z8wtzzq6ce3ldez8dqq3wq8jx2uxraynfxk,138,15,3,Sybil,Sybil,Sybil
20647,13850,elys1dadr6avvxc2fpn4ynlsjsh5cj5raxp23ytz9t4,138,2,3,True User,Sybil,Sybil
20524,13900,elys1c5t9yy3y79qnffzl9zhrks25580gdvxk2u99su,141,15,3,Sybil,True user,Sybil
23197,13200,elys1ae34njs9z9pg8hd6070l546y0a7e5gyx0p57qd,133,15,3,Sybil,True user,Sybil
27505,12050,elys19nssd0pdqz2rd3ran5u7hemgae6amljzgtda7e,122,15,3,Sybil,Sybil,Sybil
19972,14050,elys19lhqvsa5cczmspvsym9twf3hawjlykeheth59d,142,15,3,Sybil,True user,Sybil
23380,13150,elys194lxkq5aejpd0wd345k6f7lwxr5kef7gdrzrfd,134,15,3,Sybil,True user,Sybil
42580,9400,elys187hlc0kf56lmstzsmhaac8as62cqtkxtaj5tn8,96,6,3,True User,Sybil,Sybil
23194,13200,elys173u0j7d7f9nadpfvxle60ruecgln6mazjl7gs4,135,15,3,Sybil,True user,Sybil
25495,12600,elys1646kz7txxwjvgs97dpvn6suee85235zkz23rh9,131,15,3,Sybil,True user,Sybil
40763,9700,elys15kskwjhvkl2agr4s3nkv9z78hnd5duylmhwk96,98,0,3,True User,Sybil,Sybil
24381,12900,elys14a0w4nkjmvhdtyspjd7k7p2jz9rnslpsldplt2,129,15,3,Sybil,Sybil,Sybil
23586,13100,elys13wj06dzwcs5jzjzqpucm8ps5cz03exxzy9kvl6,135,15,3,Sybil,Sybil,Sybil
15166,15500,elys12u8cfyl8guqznau6p6vhndlw4dukchn9sk80sz,157,3,3,True User,Sybil,Sybil
24927,12750,elys12jvz4ly4e036x3kx9ud78zcukw02e5tjx93ugm,130,15,3,Sybil,Sybil,Sybil
23760,13050,elys12f8f34gzczdlu78njwq05endkx043r9etyayn5,132,15,3,Sybil,True user,Sybil
23030,13250,elys10c0p80cvhtctdy7aupjmjtv2gdu68faf3j46tg,134,15,3,Sybil,True user,Sybil
21250,13700,elys1zwv2yn0y089mw95tltr3ekevu9rg5alas8umw7,135,11,2,Sybil,True user,Sybil
53899,8100,elys1zw80frj3tq0x52grr62ym53tcrvulqt9u49zpv,102,7,2,True User,Sybil,Sybil
23376,13150,elys1zv8wzdfg4fhmqwh4f6py8a5vwvys3e4fvgdku7,135,12,2,Sybil,True user,Sybil
26041,12450,elys1zv0wemvmzmg6k4thkrd8444tw3r8k9ye7f3fdc,129,12,2,Sybil,True user,Sybil
50015,8450,elys1ztx0hjwpfrh0rw3yz9x97v5uyexzllw4pf7k5m,105,7,2,True User,Sybil,Sybil
50007,8450,elys1zm3ja30jhnvdcgl787gv9h5ql7mlft9rjl66yr,105,7,2,True User,Sybil,Sybil
46762,8800,elys1zk9ykultneyz9ahe0nttfjsp76ryc90ayegxrx,110,5,2,True User,Sybil,Sybil
26927,12200,elys1zk30cc5xscuqfu27230t43sael75275xmd0a3z,124,18,2,Sybil,Sybil,Sybil
19594,14150,elys1zjrpxpqdspwxusy7wd99fther5mgt3up5p2rsd,143,13,2,Sybil,Sybil,Sybil
29456,11600,elys1zhkn6nkpuunqmcm7jvyqpstv7708tqskdvny9h,114,10,2,Sybil,Sybil,Sybil
52042,8250,elys1zh3rsy6qhx25pk57w08qvuwxvr0luldtfnh46m,103,5,2,True User,Sybil,Sybil
23955,13000,elys1zh2n9rjjxzf9ps7m80h6a69yyfxxu6ulae9qlf,138,14,2,Sybil,Sybil,Sybil
47622,8700,elys1zet6jy6v06j0a2t2wv2ppaem3jnaeqzkpk6zy4,108,7,2,True User,Sybil,Sybil
28764,11750,elys1zehx7lnmxrmvxd5haawxmmf3wvds32du29cw0z,117,16,2,Sybil,True user,Sybil
24747,12800,elys1z9qftr30klykv2s4zg5j77qzqf695n9plpzw5l,128,10,2,Sybil,Sybil,Sybil
